code,52w low,52w high
5622,0.61,2.6
8591,0.79,1.1
7028,0.15,0.63
5169,0.28,0.55
9261,0.475,1.0
9571,0.225,0.87
5171,1.0,2.2
5226,0.615,1.85
0192,0.25,0.37
8761,0.735,0.9
5205,0.455,1.09
5924,0.115,0.26
7047,0.3,0.78
7145,0.095,0.165
9679,0.66,1.4
5703,2.51,3.2
5187,0.055,0.325
3905,1.262,2.65
5214,0.01,0.01
5099,2.3,4.18
5983,1.86,2.82
8931,0.335,0.46
7088,1.15,1.64
2925,1.44,2.18
5102,1.32,3.88
5159,0.95,1.31
4006,5.82,6.88
7126,0.395,0.69
7167,0.835,1.48
6939,0.43,0.57
7087,3.88,5.52
7089,2.25,3.31
5908,2.14,4.42
0037,0.18,0.305
9369,0.88,1.1
4197,2.04,2.93
4405,1.33,1.91
7129,2.38,2.93
7035,0.365,2.05
5080,0.44,0.58
7134,0.7,0.95
3514,0.115,0.15
0186,0.22,0.315
9423,0.415,0.54
5584,1.8,2.36
1619,1.6,2.58
7252,0.735,1.34
2828,1.45,2.18
5141,0.5,1.63
2739,0.13,0.48
5199,0.705,1.36
3042,6.01,10.98
5142,0.595,1.66
9296,1.06,1.72
2186,1.57,2.66
6459,0.845,2.64
3379,0.645,0.925
1163,10.44,14.76
5230,0.525,1.0
5185,2.18,2.63
5258,3.4,4.36
1171,0.89,1.25
1066,4.99,5.94
1023,5.21,7.36
5184,1.5,2.67
4243,0.415,0.77
5665,0.72,2.08
4235,0.45,1.3
6556,1.15,3.48
7181,0.035,0.6
7099,0.545,0.93
8273,0.39,0.69
7029,0.545,0.73
5197,0.98,1.87
5232,0.4,0.815
5797,1.41,2.59
4758,0.405,0.755
5021,0.32,0.435
4944,0.58,0.825
8486,0.405,0.775
8907,0.43,0.64
7214,0.5,0.915
9881,0.25,0.48
7034,2.07,3.08
9121,0.47,0.7
5087,0.225,0.53
7016,0.23,0.485
7609,0.5,0.64
5065,0.88,1.78
3883,1.5,2.95
7162,0.59,0.975
7091,0.9,1.1
0054,0.125,0.235
6971,0.89,1.68
5152,0.905,1.25
6998,0.115,0.195
5576,0.25,0.66
7169,1.21,1.39
7229,2.2,2.83
9873,0.5,0.995
5916,0.695,3.68
5105,1.83,2.88
5007,1.49,2.0
7579,0.6,0.93
5208,1.13,1.76
5147,0.61,1.15
5223,0.435,0.715
5100,0.85,1.17
7854,0.41,0.7
5276,0.335,0.605
5010,2.66,4.28
7050,0.56,1.24
7140,0.555,1.45
5125,0.415,0.65
7233,0.94,4.07
3948,0.435,0.65
5029,2.7,14.6
1961,4.1,4.88
1929,6.6,8.1
5073,0.43,1.07
5049,1.15,1.65
9687,0.55,1.86
1007,0.49,0.755
5038,0.675,1.04
3484,0.22,0.51
4057,0.11,0.165
7249,0.305,0.885
2224,0.6,0.96
5959,0.87,1.22
7889,0.175,0.65
6181,0.39,0.935
5738,0.867,1.6
7323,0.555,0.94
6602,0.22,0.475
5053,0.835,1.05
7189,1.54,2.08
3557,0.28,0.325
5191,0.71,1.05
4286,0.285,0.43
3174,0.13,0.205
1538,0.32,0.805
4375,0.135,0.24
4251,0.36,0.56
5236,1.83,2.2
5606,2.2,3.08
3743,0.58,1.26
5239,0.285,0.605
5401,0.805,0.93
8583,0.89,1.32
5158,0.24,0.335
4596,0.6,1.12
6017,2.18,2.7
5827,1.95,2.28
1724,1.77,2.26
5084,0.15,0.76
5127,0.81,0.9
5109,1.07,1.32
5110,1.29,1.52
5036,0.335,0.84
0083,0.515,0.79
5162,0.91,1.22
0082,0.28,0.46
4502,0.25,0.6
5078,0.055,0.195
5077,0.41,0.805
5259,0.28,0.605
2062,0.62,0.76
5136,0.535,0.93
7210,0.505,1.22
3069,2.99,3.99
